B61,B62,B63,B64,B65,B67,B68,B69,B70,B71,B72,B73,B74,B75,B76,B78,B79,B80,B81,B82,B83
costo de ventas,,,,gastos de capacitacion,,,,,,,,,,,,,,,,
otros costos directo,,,,gastos e impuestos bancarios,,,,,,,,,,,,,,,,
resultado revaloriza,,,,seguridad industrial,,,,,,,,,,,,,,,,
scpd costo ventas,,,,servicios juridicos,,,,,,,,,,,,,,,,
ingresos por venta,,,,seguros,,,,,,,,,,,,,,,,
p g diferencia en el,,,,útiles escritorio,,,,,,,,,,,,,,,,
p g diferencia cantidad,,,,locomocion y viaticos,,,,,,,,,,,,,,,,
ventas repuestos y accesorios,,,,fotocopias,,,,,,,,,,,,,,,,
ventas lubricantes,,,,gastos computacional,,,,,,,,,,,,,,,,
ventas baterias,,,,gastos servicios,,,,,,,,,,,,,,,,
ventas neumáticos,,,,gastos menores,,,,,,,,,,,,,,,,
ventas amortiguadores,,,,gastos de ventas,,,,,,,,,,,,,,,,
ventas cámaras,,,,comision tarjetas,,,,,,,,,,,,,,,,
ventas recauchados,,,,gastos de tranferencias,,,,,,,,,,,,,,,,
ventas repuestos agrícolas,,,,patentes,,,,,,,,,,,,,,,,
venta productos consignados,,,,contribuciones,,,,,,,,,,,,,,,,
ventas de serviteca,,,,publicidad y propaganda,,,,,,,,,,,,,,,,
venta servicios de terceros,,,,combustible,,,,,,,,,,,,,,,,
ventas otros,,,,fletes y despachos,,,,,,,,,,,,,,,,
ingresos por rebate y recuperación gastos,,,,remuneraciones,,,,,,,,,,,,,,,,
,,,,indemnizaciones años servicios,,,,,,,,,,,,,,,,
,,,,desahucios,,,,,,,,,,,,,,,,
,,,,vacaciones por finiquitos,,,,,,,,,,,,,,,,
,,,,honorarios,,,,,,,,,,,,,,,,
,,,,asesorías y consultorías,,,,,,,,,,,,,,,,
,,,,comunicaciones,,,,,,,,,,,,,,,,
,,,,arriendos pagados,,,,,,,,,,,,,,,,
,,,,seguros contratados,,,,,,,,,,,,,,,,
,,,,gastos grales c matriz,,,,,,,,,,,,,,,,
,,,,gastos adm y finanzas,,,,,,,,,,,,,,,,
,,,,comisiones por ventas,,,,,,,,,,,,,,,,
,,,,comisión rapel,,,,,,,,,,,,,,,,
,,,,fletes por distribuciones,,,,,,,,,,,,,,,,
,,,,viajes y estadías,,,,,,,,,,,,,,,,
,,,,gastos de ventas varios,,,,,,,,,,,,,,,,
,,,,intereses pronto pago,,,,,,,,,,,,,,,,
,,,,gastos publicidad varios,,,,,,,,,,,,,,,,
,,,,insumos varios de bodega,,,,,,,,,,,,,,,,
,,,,gastos de mant e instal bodega,,,,,,,,,,,,,,,,
,,,,gastos grales varios,,,,,,,,,,,,,,,,
,,,,indemnización años de servicio,,,,,,,,,,,,,,,,
,,,,gastos bancarios,,,,,,,,,,,,,,,,
,,,,gastos generales,,,,,,,,,,,,,,,,
,,,,sueldos profesores chilenos tit play group,,,,,,,,,,,,,,,,
,,,,honorarios profesores chilenos auxilares,,,,,,,,,,,,,,,,
,,,,sueldos personal mantención,,,,,,,,,,,,,,,,
,,,,honorarios mantención,,,,,,,,,,,,,,,,
,,,,leyes sociales profesores chilenos,,,,,,,,,,,,,,,,
,,,,leyes sociales mantención,,,,,,,,,,,,,,,,
,,,,indemnizaciones profesores chilenos,,,,,,,,,,,,,,,,
,,,,indemnizaciones mantención,,,,,,,,,,,,,,,,
,,,,contribución colación profesionales chilenos tit,,,,,,,,,,,,,,,,
,,,,asignación movilización profesionales chilenos,,,,,,,,,,,,,,,,
,,,,colación mantención,,,,,,,,,,,,,,,,
,,,,contribución ropa de trabajo mantención,,,,,,,,,,,,,,,,
,,,,asignación movilización mantención,,,,,,,,,,,,,,,,
,,,,vacaciones profesores chilenos,,,,,,,,,,,,,,,,
,,,,vacaciones mantención y servicio,,,,,,,,,,,,,,,,
,,,,mantención edificio colegio,,,,,,,,,,,,,,,,
,,,,servicio custodia y monitoreo,,,,,,,,,,,,,,,,
,,,,mantención y reparación mobiliario colegio,,,,,,,,,,,,,,,,
,,,,luz,,,,,,,,,,,,,,,,
,,,,agua,,,,,,,,,,,,,,,,
,,,,gas,,,,,,,,,,,,,,,,
,,,,materiales de aseo e higiene,,,,,,,,,,,,,,,,
,,,,imp timbres contribución municipales y notariales,,,,,,,,,,,,,,,,
,,,,arriendo de inmuebles,,,,,,,,,,,,,,,,
,,,,avisos impresos y suscripciones,,,,,,,,,,,,,,,,
,,,,mat oficina administración,,,,,,,,,,,,,,,,
,,,,mat oficina colegio,,,,,,,,,,,,,,,,
,,,,teléfonos,,,,,,,,,,,,,,,,
,,,,gto represent varios,,,,,,,,,,,,,,,,
,,,,asesoría contable tributaria legal,,,,,,,,,,,,,,,,
,,,,material escolar kinder,,,,,,,,,,,,,,,,
,,,,material didáctico lab biblioteca,,,,,,,,,,,,,,,,
,,,,gastos atencion primeros auxilios,,,,,,,,,,,,,,,,
,,,,deprec muebles y utiles colegio,,,,,,,,,,,,,,,,
,,,,deprec muebles utiles y equip informática,,,,,,,,,,,,,,,,
,,,,comisiones y gastos bancarios,,,,,,,,,,,,,,,,
,,,,costo de venta producto impor,,,,,,,,,,,,,,,,
,,,,costo de venta producto termi,,,,,,,,,,,,,,,,
,,,,costo de venta producto terminado adhesivo,,,,,,,,,,,,,,,,
,,,,costo de venta producto terminado aditivo,,,,,,,,,,,,,,,,
,,,,costo de venta producto terminado fragues,,,,,,,,,,,,,,,,
,,,,costo de venta producto terminado morteros,,,,,,,,,,,,,,,,
,,,,costo de venta producto terminado morteros técnicos,,,,,,,,,,,,,,,,
,,,,costo de venta producto termiando revestimientos,,,,,,,,,,,,,,,,
,,,,costo de venta producto terminado otros,,,,,,,,,,,,,,,,
,,,,costo de venta envases,,,,,,,,,,,,,,,,
,,,,costo de venta materias primas,,,,,,,,,,,,,,,,
,,,,costo de venta pallets,,,,,,,,,,,,,,,,
,,,,costo de venta producto eifs,,,,,,,,,,,,,,,,
,,,,fletes y distribución,,,,,,,,,,,,,,,,
,,,,arriendo maquinaria,,,,,,,,,,,,,,,,
,,,,colaciones,,,,,,,,,,,,,,,,
,,,,teléfonos,,,,,,,,,,,,,,,,
,,,,honorarios,,,,,,,,,,,,,,,,
,,,,movilización,,,,,,,,,,,,,,,,
,,,,gastos generales,,,,,,,,,,,,,,,,
,,,,gastos vehículos,,,,,,,,,,,,,,,,
,,,,gastos de viaje y hospedaje,,,,,,,,,,,,,,,,
,,,,mantenimiento planta,,,,,,,,,,,,,,,,
,,,,sueldos,,,,,,,,,,,,,,,,
,,,,bonos,,,,,,,,,,,,,,,,
,,,,leyes sociales,,,,,,,,,,,,,,,,
,,,,servicios terceros,,,,,,,,,,,,,,,,
,,,,patentes comerciales,,,,,,,,,,,,,,,,
,,,,contribuciones,,,,,,,,,,,,,,,,
,,,,seguros,,,,,,,,,,,,,,,,
,,,,arriendos,,,,,,,,,,,,,,,,
,,,,combustibles planta,,,,,,,,,,,,,,,,
,,,,calidad,,,,,,,,,,,,,,,,
,,,,indemnización,,,,,,,,,,,,,,,,
,,,,gastos rechazados,,,,,,,,,,,,,,,,
,,,,colaciones,,,,,,,,,,,,,,,,
,,,,teléfonos,,,,,,,,,,,,,,,,
,,,,honorarios,,,,,,,,,,,,,,,,
,,,,movilización,,,,,,,,,,,,,,,,
,,,,gastos generales,,,,,,,,,,,,,,,,
,,,,viáticos,,,,,,,,,,,,,,,,
,,,,gastos vehículos,,,,,,,,,,,,,,,,
,,,,gastos de viaje y hospedaje,,,,,,,,,,,,,,,,
,,,,sueldos,,,,,,,,,,,,,,,,
,,,,bonos,,,,,,,,,,,,,,,,
,,,,leyes sociales,,,,,,,,,,,,,,,,
,,,,servicios terceros,,,,,,,,,,,,,,,,
,,,,seguros,,,,,,,,,,,,,,,,
,,,,otros arriendos,,,,,,,,,,,,,,,,
,,,,propaganda y publicidad,,,,,,,,,,,,,,,,
,,,,fee administrativo roy,,,,,,,,,,,,,,,,
,,,,deudores incobrables,,,,,,,,,,,,,,,,
,,,,asesorias,,,,,,,,,,,,,,,,
,,,,correspondencia,,,,,,,,,,,,,,,,
,,,,gastos rechazados,,,,,,,,,,,,,,,,
,,,,indemnización,,,,,,,,,,,,,,,,
,,,,gastos bancarios,,,,,,,,,,,,,,,,
,,,,consumo mat maquila,,,,,,,,,,,,,,,,
,,,,costo de producto maquinaria,,,,,,,,,,,,,,,,
,,,,sueldos,,,,,,,,,,,,,,,,
,,,,horas extraordinaria,,,,,,,,,,,,,,,,
,,,,gratificaciones,,,,,,,,,,,,,,,,
,,,,movilizacion,,,,,,,,,,,,,,,,
,,,,colacion,,,,,,,,,,,,,,,,
,,,,vacaciones,,,,,,,,,,,,,,,,
,,,,indemnizaciones,,,,,,,,,,,,,,,,
,,,,aporte patronal,,,,,,,,,,,,,,,,
,,,,aporte fondo de cesa,,,,,,,,,,,,,,,,
,,,,beneficios del personal,,,,,,,,,,,,,,,,
,,,,honorarios,,,,,,,,,,,,,,,,
,,,,premio por gestion,,,,,,,,,,,,,,,,
,,,,bono cumplimiento,,,,,,,,,,,,,,,,
,,,,asignación dias festivos,,,,,,,,,,,,,,,,
,,,,asignacion de caja,,,,,,,,,,,,,,,,
,,,,aguinaldo,,,,,,,,,,,,,,,,
,,,,mutual,,,,,,,,,,,,,,,,
,,,,seguro de vida,,,,,,,,,,,,,,,,
,,,,sala cuna,,,,,,,,,,,,,,,,
,,,,asignacion,,,,,,,,,,,,,,,,
,,,,diferencia mes anterior,,,,,,,,,,,,,,,,
,,,,gastos del personal,,,,,,,,,,,,,,,,
,,,,electricidad,,,,,,,,,,,,,,,,
,,,,agua,,,,,,,,,,,,,,,,
,,,,telefonos red fija,,,,,,,,,,,,,,,,
,,,,franqueo y encomienda,,,,,,,,,,,,,,,,
,,,,arriendo de instalaciones,,,,,,,,,,,,,,,,
,,,,mantencion de otros,,,,,,,,,,,,,,,,
,,,,servicios informaticos,,,,,,,,,,,,,,,,
,,,,suministros computacionales,,,,,,,,,,,,,,,,
,,,,viajes traslados y e,,,,,,,,,,,,,,,,
,,,,seguros generales,,,,,,,,,,,,,,,,
,,,,fletes luniben,,,,,,,,,,,,,,,,
,,,,informes comerciales,,,,,,,,,,,,,,,,
,,,,atencion juridica co,,,,,,,,,,,,,,,,
,,,,gastos legales y notariales,,,,,,,,,,,,,,,,
,,,,suscripciones,,,,,,,,,,,,,,,,
,,,,gastos de casino,,,,,,,,,,,,,,,,
,,,,articulos de oficina,,,,,,,,,,,,,,,,
,,,,gastos de aseo,,,,,,,,,,,,,,,,
,,,,servicios de vigilan,,,,,,,,,,,,,,,,
,,,,otros gastos general,,,,,,,,,,,,,,,,
,,,,deudas incobrables,,,,,,,,,,,,,,,,
,,,,castigo de existencias,,,,,,,,,,,,,,,,
,,,,donaciones,,,,,,,,,,,,,,,,
,,,,amortizacion de marc,,,,,,,,,,,,,,,,
,,,,amortizacion de lice,,,,,,,,,,,,,,,,
,,,,perdida robo de efectivo,,,,,,,,,,,,,,,,
,,,,mantencion de equipo,,,,,,,,,,,,,,,,
,,,,mantencion de edificio,,,,,,,,,,,,,,,,
,,,,gasto de uniformes,,,,,,,,,,,,,,,,
,,,,ss de bodegaje y des,,,,,,,,,,,,,,,,
,,,,arriendo de equipos,,,,,,,,,,,,,,,,
,,,,telefonos celulares,,,,,,,,,,,,,,,,
,,,,gastos de traslado p,,,,,,,,,,,,,,,,
,,,,per robo mercaderia,,,,,,,,,,,,,,,,
,,,,comisiones de terc,,,,,,,,,,,,,,,,
,,,,depreciacion ejercicio,,,,,,,,,,,,,,,,
,,,,depreciacion ejercicio,,,,,,,,,,,,,,,,
,,,,depreciacion ejercicio,,,,,,,,,,,,,,,,
,,,,depreciacion ejercicio,,,,,,,,,,,,,,,,
,,,,depreciacion ejercicio,,,,,,,,,,,,,,,,
,,,,depreciacion ejercicio,,,,,,,,,,,,,,,,
,,,,publicidad y propaga,,,,,,,,,,,,,,,,
,,,,materiales publicitarios,,,,,,,,,,,,,,,,
,,,,patentes municipales,,,,,,,,,,,,,,,,
,,,,multas e infracciones,,,,,,,,,,,,,,,,
,,,,reajuste art ,,,,,,,,,,,,,,,,
,,,,iva no recuperable,,,,,,,,,,,,,,,,
,,,,recuperacion de gastos,,,,,,,,,,,,,,,,
,,,,ingreso public erbi,,,,,,,,,,,,,,,,
,,,,otros descuentos,,,,,,,,,,,,,,,,
,,,,descuentos por ventas,,,,,,,,,,,,,,,,
,,,,costo venta repuestos y accesorios,,,,,,,,,,,,,,,,
,,,,costo venta lubricantes,,,,,,,,,,,,,,,,
,,,,costo venta baterias,,,,,,,,,,,,,,,,
,,,,costo venta neumáticos,,,,,,,,,,,,,,,,
,,,,costo venta amortiguadores,,,,,,,,,,,,,,,,
,,,,costo venta cámaras,,,,,,,,,,,,,,,,
,,,,costo venta recauchados,,,,,,,,,,,,,,,,
,,,,costo venta repuestos agrícolas,,,,,,,,,,,,,,,,
,,,,costo venta productos consignados,,,,,,,,,,,,,,,,
,,,,costo venta de serviteca,,,,,,,,,,,,,,,,
,,,,costo venta servicios de terceros,,,,,,,,,,,,,,,,
,,,,costo venta otros,,,,,,,,,,,,,,,,
,,,,costo operacional directo,,,,,,,,,,,,,,,,
,,,,reclamos good year,,,,,,,,,,,,,,,,
,,,,incentivo de proveedores,,,,,,,,,,,,,,,,
,,,,remuneraciones,,,,,,,,,,,,,,,,
,,,,indemnización,,,,,,,,,,,,,,,,
,,,,honorarios y asesoría,,,,,,,,,,,,,,,,
,,,,gastos servicios básicos,,,,,,,,,,,,,,,,
,,,,arriendos,,,,,,,,,,,,,,,,
,,,,gastos publicidad y marketing,,,,,,,,,,,,,,,,
,,,,combustibles,,,,,,,,,,,,,,,,
,,,,fletes,,,,,,,,,,,,,,,,
,,,,seguros,,,,,,,,,,,,,,,,
,,,,gastos bancarios,,,,,,,,,,,,,,,,
,,,,otros gastos generales,,,,,,,,,,,,,,,,
,,,,diferencia regularización stock,,,,,,,,,,,,,,,,
,,,,castigos cuentas por cobrar,,,,,,,,,,,,,,,,
,,,,arriendos percibido,,,,,,,,,,,,,,,,
,,,,recuperación de castigos,,,,,,,,,,,,,,,,
,,,,arriendos por leasing,,,,,,,,,,,,,,,,
